NPRI ID,Company Name,Facility Name,City,Census Subdivision,Census Area or Census Metropolitan Area,Economic Region,Province,Postal Code,Terrestrial Ecozone,Watershed,NAICS 4 Code,NAICS 6 Code,Latitude,Longitude
0000001742,MOSAIC,Mosaic Potash Colonsay,Colonsay,Colonsay No. 342,Saskatoon,Saskatoon--Biggar,SK,S0K 0Z0,Prairie,Nelson River Drainage Area,2123,212396,51.9333,-105.7638
0000001748,Norbord inc,Division La Sarre,La Sarre,La Sarre, ,Abitibi-Témiscamingue,QC,J9Z 2X5,Boreal Shield,Southwestern Hudson Bay Drainage Area,3212,321217,48.8,-79.1917
0000001753,Keyera Corp,Minnehik Buck Lake Gas Plant,Buck Lake,Wetaskiwin County No. 10, ,Edmonton,AB,N/A,Boreal PLain,Nelson River Drainage Area,2111,211113,52.9404,-114.8323
0000001755,Canadian Natural Resources Limited,Progress Gas Plant,Gordondale,Saddle Hills County, ,Athabasca--Grande Prairie--Peace River,AB,T0H 1V0,Boreal PLain,Great Slave Lake Drainage Area,2111,211113,55.7251,-119.3999
0000001770,Northland Power Inc.,Kirkland Lake Generating Station,Kirkland Lake,Kirkland Lake, ,Northeast / Nord-est,ON,P2N 3M7,Boreal Shield,St. Lawrence Drainage Area,2211,221112,48.1347,-80.0425
0000001776,NOVA Chemicals (Canada) Ltd.,Corunna Site,Corunna,St. Clair,Sarnia,Windsor--Sarnia,ON,N0N 1G0,MixedWood Plain,St. Lawrence Drainage Area,3251,325110,42.8825,-82.4044
0000001779,NOVA Chemicals Corporation,NOVA Chemicals Corporation (Joffre),Red Deer,Lacombe County, ,Red Deer,AB,T4N 6A1,Prairie,Nelson River Drainage Area,3251,325110,52.3083,-113.55
0000001782,Methanex Corporation,Methanex Medicine Hat Methanol Plant,Medicine Hat,Medicine Hat,Medicine Hat,Lethbridge--Medicine Hat,AB,T1A 7H1,Prairie,Nelson River Drainage Area,3251,325190,50.08071,-110.72786
0000001785,INEOS Styrolution Canada Ltd.,INEOS Styrolution,Sarnia,Sarnia,Sarnia,Windsor--Sarnia,ON,N7T 7H5,MixedWood Plain,St. Lawrence Drainage Area,3251,325110,42.9385,-82.4137
0000001788,NOVA Chemicals (Canada) Ltd.,Moore Site,Mooretown,St. Clair,Sarnia,Windsor--Sarnia,ON,N0N 1M0,MixedWood Plain,St. Lawrence Drainage Area,3252,325210,42.8489,-82.4244
0000001797,Canfor Pulp Limited Partnership,Northwood Pulp Mill,Prince George,Prince George,Prince George,Cariboo,BC,V2L 4W2,Montane Cordillera,Pacific Drainage Area,3221,322112,53.9779,-122.695
0000001812,Ontario Power Generation Inc.,Lennox Generating Station,Greater Napanee,Greater Napanee, ,Kingston--Pembroke,ON,K0H 1G0,MixedWood Plain,St. Lawrence Drainage Area,2211,221112,44.1439,-76.8492
0000001816,LEDVANCE LTD/LTEE,LEDVANCE LTD/LTEE,Drummondville,Drummondville,Drummondville,Centre-du-Québec,QC,J2C 2S8,MixedWood Plain,St. Lawrence Drainage Area,3351,335110,45.8733,-72.4986
0000001842,Chemtrade Logistics Inc.,Chemtrade - Prince George Chlorate,Prince George,Prince George,Prince George,Cariboo,BC,V2N 2S6,Montane Cordillera,Pacific Drainage Area,3259,325999,53.9289,-122.7314
0000001845,Parmalat Canada Inc.,Brampton,Brampton,Brampton,Toronto,Toronto,ON,L6T 4G7,MixedWood Plain,St. Lawrence Drainage Area,3115,311511,43.7353,-79.6956
0000001857,CertainTeed Insulation Canada,CertainTeed Insulation Canada,Ottawa,Ottawa,Ottawa - Gatineau (Ontario part / partie de l'Ontario),Ottawa,ON,K1G 3N2,MixedWood Plain,St. Lawrence Drainage Area,3252,325220,45.3808,-75.5964
0000001864,The Black Velvet Distilling Co.,Black Velvet Distilling Company,Lethbridge,Lethbridge,Lethbridge,Lethbridge--Medicine Hat,AB,T1H 5E3,Prairie,Nelson River Drainage Area,3121,312140,49.713599,-112.796397
